Time,FR_q0,FR_q1,FR_q2,FL_q0,FL_q1,FL_q2,RL_q0,RL_q1,RL_q2,RR_q0,RR_q1,RR_q2,FR_t0,FR_t1,FR_t2,FL_t0,FL_t1,FL_t2,RL_t0,RL_t1,RL_t2,RR_t0,RR_t1,RR_t2,foot_0,foot_1,foot_2,foot_3,FR,FL,RR,RL
0.364193,0.0562556,0.79424,-1.58238,-0.0535912,0.795815,-1.58618,-0.0506846,0.793937,-1.58808,0.0574668,0.800477,-1.58162,1.28516,0.46875,4.19141,-1.23438,0.417969,4.44922,-1.33203,0.417969,4.44922,1.21094,0.269531,4.30078,415,461,420,499,1,1,1,1
0.375008,0.0563162,0.79418,-1.58238,-0.0535307,0.795815,-1.58622,-0.0506846,0.793998,-1.58804,0.0573456,0.800417,-1.58162,1.28516,0.269531,4.07812,-1.0625,0.34375,4.33984,-1.33203,0.417969,4.59766,1.25781,0.394531,4.33984,415,461,420,498,1,1,1,1
0.385322,0.0563162,0.79418,-1.58238,-0.0535307,0.795815,-1.58622,-0.0506846,0.793998,-1.58804,0.0573456,0.800417,-1.58162,1.28516,0.269531,4.07812,-1.0625,0.34375,4.33984,-1.33203,0.417969,4.59766,1.25781,0.394531,4.33984,415,461,420,498,1,1,1,1
0.395824,0.0563162,0.79418,-1.58238,-0.0535307,0.795815,-1.58622,-0.0506846,0.793998,-1.58804,0.0573456,0.800417,-1.58162,1.28516,0.269531,4.07812,-1.0625,0.34375,4.33984,-1.33203,0.417969,4.59766,1.25781,0.394531,4.33984,415,461,420,498,1,1,1,1
0.410608,0.0563162,0.79418,-1.58238,-0.0535307,0.795815,-1.58622,-0.0506846,0.793998,-1.58804,0.0573456,0.800417,-1.58162,1.28516,0.269531,4.07812,-1.0625,0.34375,4.33984,-1.33203,0.417969,4.59766,1.25781,0.394531,4.33984,415,461,420,498,1,1,1,1
0.43033,0.0563162,0.79424,-1.58238,-0.0534701,0.795815,-1.58622,-0.0506846,0.793998,-1.58808,0.0573456,0.800417,-1.58162,1.23438,0.320312,4.26562,-1.10938,0.441406,4.5625,-1.40625,0.394531,4.67188,1.18359,0.246094,4.30078,415,461,420,498,1,1,1,1
0.448811,0.0563162,0.79424,-1.58238,-0.0534701,0.795815,-1.58622,-0.0506846,0.793998,-1.58808,0.0573456,0.800417,-1.58162,1.23438,0.320312,4.26562,-1.10938,0.441406,4.5625,-1.40625,0.394531,4.67188,1.18359,0.246094,4.30078,415,461,420,498,1,1,1,1
0.46573,0.0563162,0.79418,-1.58238,-0.0535307,0.795815,-1.58622,-0.0506846,0.793937,-1.58804,0.0574062,0.800477,-1.58166,1.23438,0.292969,4.11719,-1.08594,0.34375,4.33984,-1.38281,0.441406,4.63672,1.23438,0.269531,4.375,416,461,420,498,1,1,1,1
0.480003,0.0563162,0.79418,-1.58238,-0.0535307,0.795815,-1.58622,-0.0506846,0.793937,-1.58804,0.0574062,0.800477,-1.58166,1.23438,0.292969,4.11719,-1.08594,0.34375,4.33984,-1.38281,0.441406,4.63672,1.23438,0.269531,4.375,416,461,420,498,1,1,1,1
0.490548,0.0563162,0.79418,-1.58238,-0.0535307,0.795815,-1.58622,-0.0506846,0.793937,-1.58804,0.0574062,0.800477,-1.58166,1.23438,0.292969,4.11719,-1.08594,0.34375,4.33984,-1.38281,0.441406,4.63672,1.23438,0.269531,4.375,416,461,420,498,1,1,1,1
0.509796,0.0563162,0.79418,-1.58238,-0.0534701,0.795815,-1.58622,-0.0506846,0.793998,-1.58808,0.0574062,0.800417,-1.58162,1.25781,0.292969,4.04297,-1.03516,0.34375,4.44922,-1.28516,0.367188,4.63672,1.13672,0.21875,4.19141,415,461,420,498,1,1,1,1
0.520808,0.0563162,0.79418,-1.58238,-0.0534701,0.795815,-1.58622,-0.0506846,0.793998,-1.58808,0.0574062,0.800417,-1.58162,1.25781,0.292969,4.04297,-1.03516,0.34375,4.44922,-1.28516,0.367188,4.63672,1.13672,0.21875,4.19141,415,461,420,498,1,1,1,1
0.531488,0.0563162,0.79424,-1.58238,-0.0535307,0.795815,-1.58622,-0.0506846,0.793937,-1.58808,0.0573456,0.800417,-1.58162,1.23438,0.320312,4.04297,-1.13672,0.417969,4.26562,-1.30859,0.320312,4.63672,1.21094,0.171875,4.30078,415,461,420,498,1,1,1,1
